"Time (EpSec),""Range (km)"""
4020310.000,1599.095024
4020330.000,1623.689962
4020350.000,1660.064547
4020370.000,1707.453344
4020390.000,1764.951859
4020410.000,1831.586396
4020430.000,1906.373459
4020450.000,1988.364175
4020470.000,2076.673178
4020490.000,2170.494371
4020510.000,2269.106665
4020530.000,2371.872970
4020534.740,2396.776254
4025952.985,2368.958383
4025972.000,2253.760499
4025992.000,2134.599517
4026012.000,2017.903672
4026032.000,1904.178286
4026052.000,1794.038828
4026072.000,1688.235833
4026092.000,1587.682698
4026112.000,1493.483538
4026132.000,1406.955010
4026152.000,1329.631154
4026172.000,1263.234002
4026192.000,1209.589054
4026212.000,1170.469098
4026232.000,1147.371701
4026252.000,1141.273326
4026272.000,1152.439556
4026292.000,1180.368881
4026312.000,1223.895957
4026332.000,1281.408007
4026352.000,1351.090908
4026372.000,1431.134146
4026392.000,1519.864196
4026412.000,1615.810029
4026432.000,1717.719745
4026452.000,1824.548960
4026472.000,1935.436116
4026492.000,2049.674123
4026512.000,2166.683155
4026532.000,2285.986858
4026550.072,2395.436183
4070030.972,2396.500618
4070050.000,2272.208467
4070070.000,2142.464688
4070090.000,2013.876662
4070110.000,1886.745566
4070130.000,1761.451526
4070150.000,1638.480295
4070170.000,1518.459981
4070190.000,1402.211302
4070210.000,1290.815120
4070230.000,1185.699431
4070250.000,1088.741672
4070270.000,1002.364878
4070290.000,929.570887
4070310.000,873.801422
4070330.000,838.491887
4070350.000,826.290543
4070370.000,838.217263
4070390.000,873.283582
4070410.000,928.862475
4070430.000,1001.526609
4070450.000,1087.832725
4070470.000,1184.772901
4070490.000,1289.917046
4070510.000,1401.381403
4070530.000,1517.732843
4070550.000,1637.886554
4070570.000,1761.018829
4070590.000,1886.499308
4070610.000,2013.840526
4070630.000,2142.661040
4070650.000,2272.658642
4070664.709,2368.874360
4076129.122,2395.320328
4076149.000,2330.820643
4076169.000,2272.726590
4076189.000,2222.011808
4076209.000,2179.211734
4076229.000,2144.816543
4076249.000,2119.247688
4076269.000,2102.835174
4076289.000,2095.797824
4076309.000,2098.229362
4076329.000,2110.092095
4076349.000,2131.219437
4076369.000,2161.326532
4076389.000,2200.027715
4076409.000,2246.858187
4076429.000,2301.297610
4076449.000,2362.792810
4076455.000,2382.532379
